gene_name	source	accession	description
GRMZM2G050218	RefSeq peptide	NP_001137092	hypothetical protein LOC100217268 
GRMZM2G132057	RefSeq peptide	NP_001152373	nucleic acid binding protein 
GRMZM2G178681	RefSeq peptide	NP_001143685	hypothetical protein LOC100276413 
GRMZM2G178693	UniProtKB/Swiss-Prot	Q9XF58	Aquaporin PIP2-5 (Plasma membrane intrinsic protein 2-5)(ZmPIP2-5)(ZmPIP2;5)(ZmPIP2a)
GRMZM2G035454	UniProtKB/TrEMBL	B6UA73	Putative uncharacterized protein 
GRMZM2G439578	RefSeq peptide	NP_001149944	LOC100283572 
GRMZM2G050649	RefSeq peptide	NP_001151108	LOC100284741 
GRMZM2G130348	RefSeq peptide	NP_001151624	cyclin-like F-box 
GRMZM2G112586	RefSeq peptide	NP_001142803	hypothetical protein LOC100275181 
GRMZM2G009464	RefSeq peptide	NP_001146431	hypothetical protein LOC100280013 
GRMZM2G008892	UniProtKB/TrEMBL	B6SXB9	Oxygen-evolving enhancer protein 3 
GRMZM2G053600	RefSeq peptide	NP_001140699	hypothetical protein LOC100272774 
GRMZM2G106748	RefSeq peptide	NP_001105997	lipoxygenase 
GRMZM2G019251	RefSeq peptide	NP_001145109	hypothetical protein LOC100278324 
GRMZM2G156470	RefSeq peptide	NP_001105462	auxin induced protein 
GRMZM2G156392	RefSeq peptide	NP_001149574	SAUR55 - auxin-responsive SAUR family member 
GRMZM2G106730	RefSeq peptide	NP_001149402	nodulin-like protein 
GRMZM2G172369	UniProtKB/TrEMBL	B8A1C7	Putative uncharacterized protein 
GRMZM2G089010	RefSeq peptide	NP_001132247	hypothetical protein LOC100193682 
GRMZM2G343360	RefSeq peptide	NP_001149574	SAUR55 - auxin-responsive SAUR family member 
GRMZM2G352855	RefSeq peptide	NP_001142361	hypothetical protein LOC100274532 
GRMZM2G471115	RefSeq peptide	NP_001147030	nucleotide binding protein 
GRMZM2G062613	RefSeq peptide	NP_001142287	hypothetical protein LOC100274456 
GRMZM2G111494	RefSeq peptide	NP_001141291	hypothetical protein LOC100273382 
GRMZM2G022206	RefSeq peptide	NP_001149671	ubiquitin-conjugating enzyme E2-17 kDa 
GRMZM2G057283	RefSeq peptide	NP_001152147	plasma membrane associated protein 
GRMZM2G383833	RefSeq peptide	NP_001169665	hypothetical protein LOC100383546 
GRMZM2G042712	RefSeq peptide	NP_001150395	LOC100284025 
GRMZM2G026939	UniProtKB/TrEMBL	A8HNF9	Z1A alpha zein protein Fragment 
GRMZM2G063917	RefSeq peptide	NP_001147922	phenylalanine ammonia-lyase 
GRMZM2G015709	RefSeq DNA	NM_001137537	hypothetical protein LOC100192114 (LOC100192114), mRNA
GRMZM2G310031	RefSeq peptide	NP_001145230	hypothetical protein LOC100278501 
GRMZM2G035688	RefSeq peptide	NP_001104854	response regulator 
GRMZM2G020898	RefSeq peptide	NP_001130924	hypothetical protein LOC100192029 
GRMZM2G158629	RefSeq peptide	NP_001140491	hypothetical protein LOC100272552 
GRMZM2G703173	UniProtKB/TrEMBL	B6TP27	Putative uncharacterized protein 
GRMZM2G126853	RefSeq peptide	NP_001143724	hypothetical protein LOC100276470 
GRMZM2G067476	RefSeq peptide	NP_001140613	hypothetical protein LOC100272685 
GRMZM2G504401	RefSeq peptide	NP_001145559	hypothetical protein LOC100279019 
GRMZM2G007300	RefSeq peptide	NP_001149480	ubiquitin-conjugating enzyme E2 7 
GRMZM2G168365	RefSeq peptide	NP_001149028	LOC100282648 
GRMZM2G175816	RefSeq peptide	NP_001132721	hypothetical protein LOC100194205 
GRMZM2G134998	RefSeq peptide	NP_001150040	zinc finger, C2H2 type family protein 
GRMZM2G174919	RefSeq peptide	NP_001140273	hypothetical protein LOC100272317 
GRMZM2G156785	RefSeq peptide	NP_001105483	high mobility group protein3 
GRMZM2G107588	RefSeq peptide	NP_001141592	hypothetical protein LOC100273709 
AC212835.3_FG002	RefSeq peptide	NP_001149787	blue copper protein 
GRMZM2G044472	UniProtKB/TrEMBL	C0PD50	Putative uncharacterized protein 
GRMZM2G032132	RefSeq peptide	NP_001151856	receptor-like protein kinase 5 
GRMZM2G434669	RefSeq peptide	NP_001142722	hypothetical protein LOC100275055 
GRMZM2G133012	RefSeq peptide	NP_001144215	hypothetical protein LOC100277077 
GRMZM2G176141	RefSeq peptide	NP_001145961	hypothetical protein LOC100279487 
GRMZM2G337229	UniProtKB/Swiss-Prot	P13436	Oleosin Zm-I (Oleosin 16 kDa)(Lipid body-associated major protein)(Lipid body-associated protein L3)
GRMZM2G109547	RefSeq DNA	NM_001176779	hypothetical protein LOC100384206 (LOC100384206), mRNA
GRMZM2G436856	UniProtKB/TrEMBL	B6UCP2	Putative uncharacterized protein 
GRMZM2G338259	RefSeq DNA	NM_001148925	hypothetical protein LOC100274571 (LOC100274571), mRNA
GRMZM2G121210	RefSeq peptide	NP_001168059	hypothetical protein LOC100381789 
GRMZM2G094978	RefSeq peptide	NP_001132056	hypothetical protein LOC100193468 
GRMZM2G158679	RefSeq peptide	NP_001152308	pollen-specific kinase partner protein 
GRMZM2G113513	RefSeq peptide	NP_001150093	glycine-rich RNA-binding protein 2 
GRMZM2G138176	RefSeq peptide	NP_001142165	hypothetical protein LOC100274332 
GRMZM2G041847	RefSeq DNA	NM_001151651	hypothetical protein LOC100278343 (LOC100278343), mRNA
GRMZM2G012148	RefSeq peptide	NP_001151734	LOC100285369 
GRMZM2G135727	UniProtKB/TrEMBL	B4FFZ6	60S ribosomal protein L3Putative uncharacterized protein ;
GRMZM2G464013	RefSeq peptide	NP_001144013	hypothetical protein LOC100276832 
GRMZM2G027219	RefSeq peptide	NP_001147756	violaxanthin de-epoxidase 
GRMZM2G459847	RefSeq peptide	NP_001142829	hypothetical protein LOC100275217 
GRMZM2G098569	RefSeq peptide	NP_001141329	hypothetical protein LOC100273420 
GRMZM2G026050	RefSeq peptide	NP_001130709	hypothetical protein LOC100191813 
GRMZM2G058518	RefSeq peptide	NP_001148826	ANAC010 
GRMZM2G163139	UniProtKB/TrEMBL	B4FKH9	Putative uncharacterized protein 
GRMZM2G702923	RefSeq DNA	NM_001175546	hypothetical protein LOC100382850 (LOC100382850), mRNA
GRMZM2G019681	UniProtKB/TrEMBL	B6T072	Putative uncharacterized protein 
GRMZM2G033694	RefSeq peptide	NP_001149253	histone-lysine N-methyltransferase, H3 lysine-36 and H4 lysine-20specific 
GRMZM2G026793	RefSeq peptide	NP_001132757	hypothetical protein LOC100194244 
GRMZM2G420865	RefSeq peptide	NP_001141931	hypothetical protein LOC100274080 
GRMZM2G429982	RefSeq peptide	NP_001152945	LOC100284104 
GRMZM2G100454	RefSeq peptide	NP_001146603	hypothetical protein LOC100280200 
GRMZM2G347027	RefSeq peptide	NP_001146519	hypothetical protein LOC100280109 
GRMZM2G073359	RefSeq peptide	NP_001148215	protein kinase APK1B 
GRMZM2G059799	RefSeq peptide	NP_001159248	hypothetical protein LOC100304338 
GRMZM2G034975	RefSeq peptide	NP_001136799	hypothetical protein LOC100216945 
GRMZM2G086925	RefSeq peptide	NP_001136576	hypothetical protein LOC100216698 
GRMZM2G181018	RefSeq peptide	NP_001147556	arabinogalactan protein 
GRMZM2G134559	RefSeq peptide	NP_001136964	hypothetical protein LOC100217124 
GRMZM2G350157	RefSeq peptide	NP_001145245	hypothetical protein LOC100278528 
GRMZM2G126285	RefSeq peptide	NP_001149412	chloroplastic quinone-oxidoreductase 
GRMZM2G152955	UniProtKB/TrEMBL	B6TG80	Putative uncharacterized protein 
GRMZM2G090269	RefSeq peptide	NP_001147702	RING-H2 finger protein ATL3F 
GRMZM2G066615	RefSeq peptide	NP_001132658	hypothetical protein LOC100194134 
GRMZM2G041493	UniProtKB/TrEMBL	B6T511	Putative uncharacterized protein 
GRMZM2G108981	RefSeq peptide	NP_001159276	hypothetical protein LOC100304366 
AC220972.3_FG001	RefSeq peptide	NP_001167698	RING-H2 finger protein ATL2L 
GRMZM2G378215	RefSeq peptide	NP_001142853	hypothetical protein LOC100275247 
GRMZM2G110277	RefSeq peptide	NP_001131237	hypothetical protein LOC100192546 
GRMZM2G176433	RefSeq peptide	NP_001142890	hypothetical protein LOC100275307 
GRMZM2G019993	UniProtKB/TrEMBL	A9LLZ5	ZCN21 
GRMZM2G110195	RefSeq peptide	NP_001142349	hypothetical protein LOC100274520 
GRMZM2G110153	RefSeq peptide	NP_001105136	MADS16 
GRMZM2G147667	RefSeq peptide	NP_001132083	hypothetical protein LOC100193497 
GRMZM2G114107	UniProtKB/TrEMBL	C4JB51	Putative uncharacterized protein 
GRMZM2G105772	RefSeq peptide	NP_001149553	DNA repair protein RAD23 
GRMZM2G009097	RefSeq peptide	NP_001143318	hypothetical protein LOC100275893 
GRMZM2G001777	RefSeq peptide	NP_001170276	hypothetical protein LOC100384237 
GRMZM2G016928	RefSeq peptide	NP_001147066	60S ribosomal protein L37a 
GRMZM2G054354	RefSeq peptide	NP_001132563	hypothetical protein LOC100194028 
GRMZM2G050861	RefSeq peptide	NP_001142269	hypothetical protein LOC100274438 
GRMZM2G050925	RefSeq peptide	NP_001143972	hypothetical protein LOC100276789 
GRMZM2G173536	UniProtKB/TrEMBL	C0P676	Putative uncharacterized protein 
GRMZM2G330377	RefSeq peptide	NP_001142593	hypothetical protein LOC100274860 
GRMZM2G011731	RefSeq peptide	NP_001142948	hypothetical protein LOC100275396 
GRMZM2G011479	RefSeq peptide	NP_001145171	hypothetical protein LOC100278407 
GRMZM2G070087	UniProtKB/TrEMBL	C4JC09	Putative uncharacterized protein 
GRMZM2G112640	RefSeq DNA	NM_001151001	hypothetical protein LOC100277440 (LOC100277440), mRNA
GRMZM2G026807	RefSeq peptide	NP_001142197	hypothetical protein LOC100274365 
GRMZM2G112728	RefSeq peptide	NP_001130771	hypothetical protein LOC100191875 
GRMZM2G362946	RefSeq DNA	NM_001153281	hypothetical protein LOC100280355 (LOC100280355), mRNA
GRMZM2G007146	RefSeq peptide	NP_001140741	hypothetical protein LOC100272816 
GRMZM2G476914	RefSeq peptide	NP_001147892	ubiquitin-protein ligase 
GRMZM2G161780	UniProtKB/TrEMBL	C4J8Z8	Putative uncharacterized protein 
GRMZM2G001592	RefSeq peptide	NP_001144649	hypothetical protein LOC100277670 
GRMZM2G001606	UniProtKB/TrEMBL	C0HIB5	Putative uncharacterized protein 
GRMZM2G002178	RefSeq peptide	NP_001145914	hypothetical protein LOC100279433 
GRMZM2G103579	RefSeq peptide	NP_001168425	hypothetical protein LOC100382195 
GRMZM2G155387	RefSeq peptide	NP_001141410	hypothetical protein LOC100273520 
GRMZM2G067315	RefSeq peptide	NP_001151228	glycine-rich cell wall structural protein 2 
GRMZM2G155341	RefSeq peptide	NP_001151003	aprataxin 
AC217910.3_FG006	RefSeq DNA	NM_001150341	hypothetical protein LOC100276588 (LOC100276588), mRNA
GRMZM2G440313	RefSeq peptide	NP_001144345	hypothetical protein LOC100277248 
GRMZM2G416110	RefSeq peptide	NP_001151827	versicolorin reductase 
GRMZM2G344411	UniProtKB/TrEMBL	B6TC89	Putative uncharacterized protein 
GRMZM2G060720	RefSeq peptide	NP_001159105	hypothetical protein LOC100304178 
GRMZM2G130904	RefSeq peptide	NP_001140689	hypothetical protein LOC100272764 
GRMZM2G419938	UniProtKB/TrEMBL	B6U0S8	Putative uncharacterized protein 
GRMZM2G479885	UniProtKB/Swiss-Prot	P24068	Ocs element-binding factor 1 (OCSBF-1)
GRMZM2G025123	UniProtKB/TrEMBL	C4IZX0	Putative uncharacterized protein 
GRMZM2G169890	UniProtKB/Swiss-Prot	P23345	Superoxide dismutase [Cu-Zn] 4A (EC 1.15.1.1)
GRMZM2G119852	UniProtKB/Swiss-Prot	O24578	Adenylosuccinate synthetase, chloroplastic Precursor (AMPSase)(AdSS)(EC 6.3.4.4)(IMP--aspartate ligase)
GRMZM2G065205	RefSeq peptide	NP_001105524	replication licensing factor MCM7 homologue 
GRMZM2G103740	RefSeq peptide	NP_001148581	replication factor C subunit 2 
GRMZM2G099023	RefSeq peptide	NP_001147579	nucleotide binding protein 
GRMZM2G077486	RefSeq peptide	NP_001150570	LOC100284203 
GRMZM2G095851	RefSeq peptide	NP_001151465	LOC100285098 
GRMZM2G069389	RefSeq peptide	NP_001143447	hypothetical protein LOC100276102 
GRMZM2G100286	RefSeq peptide	NP_001169459	hypothetical protein LOC100383330 
GRMZM2G028900	UniProtKB/TrEMBL	B6U832	GTP binding protein 
GRMZM2G064590	RefSeq peptide	NP_001140752	hypothetical protein LOC100272827 
GRMZM2G097739	RefSeq peptide	NP_001149375	cysteine-type endopeptidase/ ubiquitin thiolesterase 
GRMZM2G417917	UniProtKB/TrEMBL	B4FLT5	Putative uncharacterized protein 
GRMZM2G013855	RefSeq peptide	NP_001145462	hypothetical protein LOC100278848 
GRMZM2G043127	UniProtKB/TrEMBL	B4FCR0	Putative uncharacterized protein 
GRMZM2G162640	RefSeq peptide	NP_001169621	hypothetical protein LOC100383502 
GRMZM2G025748	RefSeq DNA	NM_001155881	disulfide oxidoreductase/ monooxygenase/ oxidoreductase (LOC100282977), mRNA
GRMZM2G381267	RefSeq peptide	NP_001144277	hypothetical protein LOC100277155 
GRMZM2G317406	UniProtKB/Swiss-Prot	P33050	Pollen-specific protein C13 Precursor 
GRMZM2G043191	RefSeq peptide	NP_001146155	hypothetical protein LOC100279724 
GRMZM2G143625	RefSeq DNA	NM_001157868	acyl-desaturase (LOC100284973), mRNA
GRMZM2G119496	UniProtKB/TrEMBL	B4FTY7	Putative uncharacterized protein 
GRMZM2G125931	RefSeq peptide	NP_001145612	hypothetical protein LOC100279094 
GRMZM2G039639	RefSeq peptide	NP_001147526	protein P21 
GRMZM2G053622	RefSeq peptide	NP_001151882	prp18 domain containing protein 
GRMZM2G028700	RefSeq peptide	NP_001131445	hypothetical protein LOC100192777 
GRMZM2G181251	RefSeq peptide	NP_001145688	hypothetical protein LOC100279192 
GRMZM2G072337	RefSeq peptide	NP_001130719	hypothetical protein LOC100191823 
GRMZM2G125985	RefSeq peptide	NP_001159121	hypothetical protein LOC100304197 
GRMZM2G469795	RefSeq DNA	NM_001147175	hypothetical protein LOC100272722 (LOC100272722), mRNA
GRMZM2G070163	RefSeq peptide	NP_001150154	SNF1-related protein kinase regulatory subunit beta-2 
GRMZM2G039373	RefSeq peptide	NP_001150411	trafficking protein particle complex subunit 1 
GRMZM2G176962	RefSeq peptide	NP_001141803	hypothetical protein LOC100273940 
GRMZM2G366688	RefSeq peptide	NP_001140901	hypothetical protein LOC100272978 
AC186231.4_FG002	RefSeq peptide	NP_001140422	hypothetical protein LOC100272479 
GRMZM2G086403	RefSeq peptide	NP_001144693	hypothetical protein LOC100277728 
GRMZM2G119544	UniProtKB/TrEMBL	B4FEB0	Putative uncharacterized protein 
GRMZM2G001551	RefSeq peptide	NP_001151368	nucleolar GTP-binding protein 1 
GRMZM2G021498	RefSeq peptide	NP_001148727	protein binding protein 
GRMZM2G036567	RefSeq peptide	NP_001152487	CF9 
GRMZM2G132273	RefSeq peptide	NP_001149569	disease resistance response protein 206 
GRMZM2G164062	RefSeq peptide	NP_001149132	LOC100282754 
GRMZM2G367317	RefSeq peptide	NP_001136824	hypothetical protein LOC100216972 
GRMZM2G455420	UniProtKB/Swiss-Prot	P17788	50S ribosomal protein L2, chloroplastic 
GRMZM2G060943	RefSeq peptide	NP_001145333	hypothetical protein LOC100278658 
GRMZM2G055834	RefSeq peptide	NP_001130610	hypothetical protein LOC100191709 
GRMZM2G320023	RefSeq peptide	NP_001168549	hypothetical protein LOC100382329 
GRMZM2G092607	RefSeq peptide	NP_001141585	hypothetical protein LOC100273701 
GRMZM2G072513	RefSeq peptide	NP_001143107	hypothetical protein LOC100275584 
AC187262.4_FG007	RefSeq peptide	NP_001140208	hypothetical protein LOC100272240 
GRMZM2G092571	RefSeq peptide	NP_001149064	DHHC zinc finger domain containing protein 
GRMZM2G176840	RefSeq peptide	NP_001147590	chloroplast oxygen-evolving complex/thylakoid lumenal 25.6kDa protein 
GRMZM2G166616	UniProtKB/TrEMBL	Q2TVK1	1-aminocyclopropane-1-carboxylic acid oxidase Fragment 
GRMZM2G173040	RefSeq DNA	NM_001156966	electron transfer flavoprotein beta-subunit (LOC100284068), mRNA
GRMZM2G011141	RefSeq peptide	NP_001148142	triacylglycerol lipase 
GRMZM2G176820	RefSeq peptide	NP_001151539	LOC100285173 
GRMZM2G113137	RefSeq peptide	NP_001104956	cellulose synthase6 
GRMZM2G170201	UniProtKB/TrEMBL	B6UI28	Paired amphipathic helix repeat family protein 
GRMZM2G144155	RefSeq peptide	NP_001152283	ankyrin protein kinase-like 
GRMZM2G112596	RefSeq peptide	NP_001150831	nucleotide-binding protein-like 
GRMZM2G176443	RefSeq peptide	NP_001105803	protein disulfide isomerase 
GRMZM2G092427	RefSeq peptide	NP_001105375	chlorophyll a/b-binding apoprotein CP24 precursor 
GRMZM2G476555	RefSeq peptide	NP_001141230	hypothetical protein LOC100273317 
GRMZM2G455769	RefSeq peptide	NP_001150798	harpin-induced protein 
GRMZM2G063824	RefSeq peptide	NP_001151390	carbohydrate transporter/ sugar porter 
GRMZM2G012611	RefSeq peptide	NP_001140372	hypothetical protein LOC100272425 
GRMZM2G115981	UniProtKB/TrEMBL	C0P904	Putative uncharacterized protein 
GRMZM2G151216	UniProtKB/TrEMBL	Q9AUC2	Receptor-like protein kinase 1 
GRMZM2G108467	UniProtKB/Swiss-Prot	P69388	Cytochrome b559 subunit alpha (PSII reaction center subunit V)
GRMZM2G105436	RefSeq peptide	NP_001152192	oxygen-independent coproporphyrinogen III oxidase-like protein sll1917 
GRMZM2G053458	UniProtKB/Swiss-Prot	P27788	Ferredoxin-3, chloroplastic Precursor (Ferredoxin III)(Fd III)
GRMZM2G070252	RefSeq peptide	NP_001144689	hypothetical protein LOC100277721 
GRMZM2G351160	RefSeq peptide	NP_001170190	hypothetical protein LOC100384139 
GRMZM2G315375	RefSeq peptide	NP_001170130	hypothetical protein LOC100384057 
GRMZM2G024668	UniProtKB/TrEMBL	C4J3K8	Putative uncharacterized protein 
GRMZM2G081554	RefSeq peptide	NP_001105329	anther ear1 
GRMZM2G170299	RefSeq peptide	NP_001152031	catalytic/ protein phosphatase type 2C 
GRMZM2G053916	RefSeq peptide	NP_001130228	hypothetical protein LOC100191322 
GRMZM2G132093	UniProtKB/Swiss-Prot	P46420	Glutathione S-transferase 4 (EC 2.5.1.18)(GST-IV)(GST-27)(GST class-phi member 4)
GRMZM2G058089	RefSeq peptide	NP_001131991	hypothetical protein LOC100193394 
GRMZM2G087243	RefSeq peptide	NP_001140766	hypothetical protein LOC100272841 
GRMZM2G058075	UniProtKB/TrEMBL	B6SI58	Putative uncharacterized protein 
GRMZM2G405476	UniProtKB/Swiss-Prot	P17788	50S ribosomal protein L2, chloroplastic 
GRMZM2G306079	RefSeq peptide	NP_001130302	hypothetical protein LOC100191396 
GRMZM2G057973	RefSeq peptide	NP_001140338	hypothetical protein LOC100272386 
GRMZM2G063592	RefSeq peptide	NP_001146551	hypothetical protein LOC100280147 
GRMZM2G114775	RefSeq peptide	NP_001143893	hypothetical protein LOC100276694 
GRMZM2G394410	RefSeq peptide	NP_001132226	hypothetical protein LOC100193661 
GRMZM2G114673	RefSeq peptide	NP_001147724	dnaJ domain containing protein 
GRMZM2G063492	RefSeq peptide	NP_001169551	hypothetical protein LOC100383429 
GRMZM2G087063	RefSeq peptide	NP_001132834	hypothetical protein LOC100194324 
GRMZM2G060257	RefSeq peptide	NP_001149956	ATPP2-A13 
GRMZM2G093962	RefSeq peptide	NP_001132594	hypothetical protein LOC100194066 
GRMZM2G060213	RefSeq peptide	NP_001169375	hypothetical protein LOC100383243 
GRMZM2G098988	RefSeq peptide	NP_001136920	hypothetical protein LOC100217078 
GRMZM2G173137	RefSeq peptide	NP_001146470	hypothetical protein LOC100280058 
GRMZM2G058560	RefSeq peptide	NP_001150546	serine/threonine-protein phosphatase 2A activator 2 
GRMZM2G027131	RefSeq peptide	NP_001152268	LOC100285907 
GRMZM2G073123	RefSeq peptide	NP_001143221	hypothetical protein LOC100275732 
GRMZM2G141376	RefSeq peptide	NP_001141087	hypothetical protein LOC100273169 
GRMZM2G055641	RefSeq peptide	NP_001145580	hypothetical protein LOC100279051 
GRMZM2G124421	RefSeq peptide	NP_001136950	hypothetical protein LOC100217109 
GRMZM2G065599	RefSeq peptide	NP_001105094	DNA methyl transferase 106 
GRMZM2G055667	RefSeq peptide	NP_001149606	beta-hydroxyacyl-ACP dehydratase 
GRMZM2G415521	UniProtKB/TrEMBL	B6UFE1	Putative uncharacterized protein 
GRMZM2G341442	RefSeq peptide	NP_001131292	hypothetical protein LOC100192605 
GRMZM2G161891	RefSeq peptide	NP_001105511	glutathione transferase35 
GRMZM2G065696	RefSeq peptide	NP_001147462	LOC100281071 
GRMZM2G308083	RefSeq peptide	NP_001130295	hypothetical protein LOC100191389 
GRMZM2G365774	RefSeq peptide	NP_001132544	hypothetical protein LOC100194008 
GRMZM2G341404	RefSeq peptide	NP_001148532	dnaJ subfamily C member 7 
GRMZM2G009724	RefSeq peptide	NP_001147764	speckle-type POZ protein 
GRMZM2G458118	UniProtKB/Swiss-Prot	P69449	ATP synthase subunit c, chloroplastic (ATP synthase F(0) sector subunit c)(F-type ATPase subunit c)(F-ATPase subunit c)(Lipid-binding protein)(ATPase subunit III)
GRMZM2G110408	RefSeq peptide	NP_001120720	filamentation temperature-sensitive H 2A 
GRMZM2G073622	RefSeq peptide	NP_001143338	hypothetical protein LOC100275940 
GRMZM2G060284	RefSeq peptide	NP_001136767	hypothetical protein LOC100216909 
GRMZM2G031941	RefSeq peptide	NP_001143977	hypothetical protein LOC100276794 
GRMZM2G481103	RefSeq peptide	NP_001148745	LOC100282361 
GRMZM2G031807	RefSeq DNA	NM_001150963	hypothetical protein LOC100277396 (LOC100277396), mRNA
GRMZM2G110646	RefSeq peptide	NP_001105559	phosphatidylinositol synthase 
GRMZM2G457562	RefSeq peptide	NP_001143036	hypothetical protein LOC100275504 
GRMZM2G110822	RefSeq peptide	NP_001132532	hypothetical protein LOC100193995 
